PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0024_08	Perú	Pago a Proveedores	Implementado con OK	M03		XML v.3	M03 Propietario		1449	41460	41460			41475	41479	41479	41537			41459	41459
PROY0024_09	Colombia	Pago a proveedores	Implementado con OK	PRO	Se retoma la migración del cliente el 07/01/2014	XML v.3	PRO Propietario		4070					41664	41670	41670				41652	41656
PROY0024_10	México	Protección de cheques	Excluido por Timeout	PCH					29	41505	41508									41492	41498
PROY0024_10	México	Respuestas	EXcluido por Timeout	XXX					29	41505	41508									41492	41498
PROY0024_11	Colombia	Respuestas local aplicativo	Implementado con OK	XXX	PDF									41888							
PROY0024_12	México	Pago a proveedores (SIT)	En Penny Test	HST																	
PROY0024_12	México	Respuestas	En Penny Test	XXX	Respuestas PaP				29												
PROY0025_01	España	Saldos y Movimientos	Implementado con OK	ISM					10000000052		41069	41085	41089	41083						41069	
PROY0026_02	España	Saldos y Movimientos	Implementado con OK	ISM	Se implantó en producción en 2010 en el PROY0026_01, aunque no llegó a estar operativo y en 2013 se vuelve a solicitar de nuevo y se trata como nueva petición.					41431	41432			41447	41449	41466	41466				
PROY0026_03	España	Transferencias domésticas	Implementado con OK	TRA						41472	41480			41496	41509	41509	41509	41472	41485	41472	41480
PROY0026_03	España	Nóminas en fichero 34.1	Excluido por Timeout	NO1																	
PROY0026_04	España	Transferencias AEB34.14 SEPA	Implementado con OK	AES	Neg.Prod.está definiendo mapa AEB3414 a V3. Previsión tentativa marzo 2014. SITUACIÓN 22-01-2014. Cristina responde que la fecha oficiosa de neg.cliente-neg.producto para implantación del servicio es finales de marzo 2014. Nueva Fecha tentativa para impla					41781	41787			41797	41878	41883		41792	41813		
PROY0026_04	España	Transferencias AEB34.14 SEPA	Implementado con OK	AES						41781	41787			41797	41878	41883		41781	41813	41781	
PROY0027_01	España	Transferencias internacionales	Implementado con OK	TIN			TIN Propietario		STARES2MXXX	41052	41046			41083	41533	41537				40995	41041
PROY0027_01	España	Transferencias domésticas	Implementado con OK	TRA					STARES2MXXX	41052	41046			41083	41533	41537				40995	41041
PROY0027_01	España	Cheques	Implementado con OK	CHE			AEB 34		STARES2MXXX												
PROY0027_01	España	Pagos certificados	Implementado con OK	CPG			CPG Propietario		STARES2MXXX												
PROY0027_01	España	Saldos y movimientos	Implementado con OK	ISM					STARES2MXXX												
PROY0027_01	España	Saldos y movimientos	Implementado con OK	MVD					STARES2MXXX												
PROY0027_01	España	Nóminas	Implementado con OK	NOM			AEB 34		STARES2MXXX												
PROY0027_01	Reino Unido	Movimientos cuentas personales en fichero	Implementado con OK	REX					STARES2MXXX												
PROY0027_01	España	Transferencias internacionales	Implementado con OK	TIN			TIN Propietario		STARES2MXXX												
PROY0027_01	España	Transferencias domésticas	Implementado con OK	TRA			AEB 34		STARES2MXXX												
PROY0027_01	España	Transferencias internacionales	Implementado con OK	TIN	Se retoma implementacion		TIN Propietario		STARES2MXXX	41375	41453			41083	41533	41537					
PROY0027_01	España	Transferencias EUR (FIT)	Excluido por Timeout	FIT					STARES2MXXX									41456	41475		
PROY0027_01	España	Transferencias internacionales	Excluido por Timeout	TIN					STARES2MXXX									41456	41475		
PROY0027_01	España	Transferencias urgentes (OMF)	Excluido por Timeout	OMF					STARES2MXXX									41456	41475		
PROY0027_02	Otros Países	Saldos y movimientos	Implementado con OK	MVD	REPUBLICA DOMINICANA				STARES2MXXX					41475	41477	41479		41477	41479		
PROY0027_03	España	Transferencias EUR (FIT)	Parado por negocio	FIT																	
PROY0027_03	España	Pagos certificados	Parado por negocio	CPG																	
PROY0028_01	España	Transferencias urgentes (OMF)	Implementado con OK	OMF	Retomamos pruebas con cliente el 08 de abril				10000000062	41478	41513			41524						41190	41198
PROY0028_01	Portugal	Transferencias domésticas urgentes	Implementado con OK	TUG	Retomamos pruebas con cliente el 08 de abril				41208001	41478	41516			41524						41190	41198
PROY0028_01	España	Transferencias EUR (FIT)	Implementado con OK	FIT	Se toma como fecha de implantación la fecha en la que se implantó la última corrección del mapa para solucionar un problema con las OMF's.				10000000062					41496							
PROY0028_01	España	Nóminas (FIM)	Implementado con OK	FIM	Todos los serviciosimplantados ( FINSTA, FIT, FIM, TEIS (NOM) TEIS(TRA) salvo TEIS (CHE) para PT. por falta de mapa .	XML v.3	FIM Propietario		10000000062					41132							
PROY0028_01	España	Cheques en fichero 34.1	Implementado con OK	CH1		XML v.3	AEB 34.1		10000000062					41132							
PROY0028_01	España	Saldos y Movimientos	Implementado con OK	ISM					10000000062					41132							
PROY0028_01	Portugal	Transferencias Domésticas	Implementado con OK	TRA		XML v.3	AEB 34		41208001					41132							
PROY0028_01	Portugal	Nóminas (ordenados)	Implementado con OK	NOM		XML v.3	AEB 34		41208001					41132							
PROY0028_01	Portugal	Saldos y movimientos	Implementado con OK	ISM					41208001					41132							
PROY0028_01	Portugal	Otros servicios no disponibles	Excluido por negocio	XXX	Cheques				41208001												
PROY0028_02	España	Adeudos directos C19.14 SEPA - CORE	Implementado con OK	CSP			AEB19.14		10000000084					41587				41533	41639		
PROY0028_02	España	Adeudos directos C19.44 Sepa	Implementado con OK	CSX			AEB19.44		10000000084					41587				41533	41639		
PROY0028_02	España	Impagados Cuaderno 19.14 (SEPA) - CORE	Implementado con OK	X9D	Devoluciones y rechazos. 		pain.002.001.03							41587				41533	41639		
PROY0028_02	España	Impagado cuaderno 19.44 (SEPA B2B)	Implementado con OK	X4D	X4D y X4R		pain.002.001.03							41587				41533	41639		
PROY0028_03	España	Saldos y movimientos	Implementado sin OK	MT940			MT940			41990	41990			41650						41990	41990
PROY0028_03	Portugal	Saldos y movimientos	Excluido por negocio	MT940			MT940			41990	41990			41650						41990	41990
PROY0028_04	Portugal	SEPA DD-Instrucoes	Implementado con OK	IDD	Presentaciones SDD SEPA CORE									41769							
PROY0028_04	Portugal	SEPA DD - Devoluçoes	Implementado con OK	RDD	Devoluciones SDD SEPA CORE									41769							
PROY0028_04	Portugal	SEPA DD - Reembolsos	Implementado con OK	REE	Presentaciones SDD SEPA B2B									41769							
PROY0028_04	Portugal	SEPA DD - Rejeiçoes	Implementado con OK	REJ	Devoluciones SDD SEPA B2B									41769							
PROY0028_05	Portugal	Saldos y movimientos	Implementado sin OK	MT940			MT940							41769							
PROY0028_06	España	Transferencias urgentes (OMF)	Excluido por Timeout	OMF			XML V3														
PROY0028_06	España	Transferencias EUR (FIT)	Excluido por Timeout	FIT			XML V3														
PROY0028_06	España	Nóminas (FIM)	Excluido por Timeout	FIM			XML V3														
